Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Item_Outlet_Sales
FDA,9.3,0.016047301,Dairy,249.8092,49,M,ST1,3735.138
DRC,5.92,0.019278216,Soft Drinks,48.2692,18,M,ST2,443.4228
FDN,17.5,0.016760075,Meat,141.618,49,M,ST1,2097.27
FDX,19.2,0,Fruits and Vegetables,182.095,10,,GS,732.38
NCD,8.93,0,Household,53.8614,13,H,ST1,994.7052
FDP,10.395,0,Baking Goods,51.4008,18,M,ST2,556.6088
FDO,13.65,0.012741089,Snack Foods,57.6588,13,H,ST1,343.5528
FDP,,0.127469857,Snack Foods,107.7622,27,M,ST3,4022.7636
FDH,16.2,0.016687114,Frozen Foods,96.9726,45,,ST1,1076.5986
FDU,19.2,0.09444959,Frozen Foods,187.8214,17,,ST1,4710.535
FDY,11.8,0,Fruits and Vegetables,45.5402,49,M,ST1,1516.0266
FDA,18.5,0.045463773,Dairy,144.1102,46,S,ST1,2187.153
FDX,15.1,0.1000135,Fruits and Vegetables,145.4786,49,M,ST1,1589.2646
FDS,17.6,0.047257328,Snack Foods,119.6782,46,S,ST1,2145.2076
FDF,16.35,0.0680243,Fruits and Vegetables,196.4426,13,H,ST1,1977.426
FDP,9,0.069088961,Breakfast,56.3614,46,S,ST1,1547.3192
NCB,11.8,0.008596051,Health and Hygiene,115.3492,18,M,ST2,1621.8888
FDP,9,0.069196376,Breakfast,54.3614,49,M,ST1,718.3982
DRI,,0.034237682,Hard Drinks,113.2834,27,M,ST3,2303.668
FDU,13.35,0.10249212,Dairy,230.5352,35,S,ST1,2748.4224
FDN,18.85,0.138190277,Snack Foods,250.8724,13,H,ST1,3775.086
FDW,,0.035399923,Baking Goods,144.5444,27,M,ST3,4064.0432
NCB,14.6,0.025698134,Household,196.5084,35,S,ST1,1587.2672
FDC,,0.057556998,Baking Goods,107.6938,19,S,GS,214.3876
FDR,13.85,0.025896485,Frozen Foods,165.021,46,S,ST1,4078.025
NCD,13,0.099887103,Household,45.906,17,,ST1,838.908
FDV,7.645,0.066693437,Snack Foods,42.3112,35,S,ST1,1065.28
DRJ,11.65,0.019356132,Hard Drinks,39.1164,13,H,ST1,308.9312
FDE,5.925,0.161466534,Dairy,45.5086,10,,GS,178.4344
FDC,,0.072221801,Canned,43.6454,19,S,GS,125.8362
FDV,19.25,0.170348551,Dairy,55.7956,10,,GS,163.7868
NCS,18.6,0.080829372,Health and Hygiene,96.4436,18,M,ST2,2741.7644
FDP,18.7,0,Snack Foods,256.6672,18,M,ST2,3068.0064
FDO,17.85,0,Breads,93.1436,45,,ST1,2174.5028
DRH,17.5,0.097904029,Soft Drinks,174.8738,46,S,ST1,2085.2856
NCX,10,0.089291137,Health and Hygiene,146.7102,49,M,ST1,3791.0652
FDV,,0.059511812,Fruits and Vegetables,128.0678,27,M,ST3,2797.6916
DRZ,8.85,0.113123893,Soft Drinks,122.5388,18,M,ST2,1609.9044
FDX,,0.123111453,Snack Foods,36.9874,27,M,ST3,388.1614
FDB,,0.026480954,Snack Foods,87.6198,27,M,ST3,2180.495
FDU,13.35,0.102511504,Dairy,230.6352,46,S,ST1,3435.528
FDK,9.8,0.02681843,Meat,126.002,13,H,ST1,2150.534
FDA,13.6,0.117818348,Snack Foods,192.9136,49,M,ST1,2527.3768
FDC,21.35,0.069102831,Canned,259.9278,18,M,ST2,6768.5228
FDL,12.15,0.042277867,Canned,126.5046,13,H,ST1,373.5138
FDM,6.42,0.089498926,Dairy,178.1002,10,,GS,358.2004
NCP,19.6,0,Health and Hygiene,153.3024,45,,ST1,2428.8384
FDV,10,0.025879577,Canned,265.2226,45,,ST1,5815.0972
FDL,15.85,0.121632721,Baking Goods,60.622,46,S,ST1,2576.646
FDS,,0.255394896,Dairy,196.8794,19,S,GS,780.3176
NCL,7.39,0.067779712,Health and Hygiene,143.8812,46,S,ST1,3134.5864
FDM,10.195,0.159803853,Frozen Foods,141.5154,13,H,ST1,850.8924
FDR,9.895,0.028696932,Canned,117.0492,13,H,ST1,810.9444
FDA,10.895,0.065041581,Fruits and Vegetables,196.3794,17,,ST1,3121.2704
NCP,12.15,0.028760013,Household,151.4708,17,,ST1,4815.0656
FDK,7.905,0.010053105,Snack Foods,249.0408,18,M,ST2,6258.52
NCX,9.195,0.048157338,Household,106.1622,45,,ST1,2117.244
DRK,8.365,0.071958197,Hard Drinks,38.0506,49,M,ST1,796.9626
FDY,15.1,0.173481304,Snack Foods,194.511,46,S,ST1,4910.275
FDI,,0.061082177,Canned,180.0344,19,S,GS,892.172
FDM,10,0,Fruits and Vegetables,246.9144,18,M,ST2,3185.1872
FDV,7.97,0.040071131,Meat,87.3514,45,,ST1,1062.6168
FDF,,0.012090074,Fruits and Vegetables,38.2848,27,M,ST3,484.7024
FDY,,0.15028599,Frozen Foods,51.0692,19,S,GS,147.8076
FDY,,0.026015519,Snack Foods,255.8356,27,M,ST3,2543.356
FDC,17.7,0.195068226,Snack Foods,185.4266,10,,GS,184.4266
FDH,19.35,0.033082215,Meat,172.5738,35,S,ST1,4865.6664
FDZ,13.65,0.078946455,Dairy,186.024,45,,ST1,1118.544
DRH,17.6,0.041700756,Soft Drinks,164.8526,45,,ST1,2302.3364
NCI,8.645,0.143422643,Health and Hygiene,95.841,46,S,ST1,2027.361
