,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Item_Outlet_Sales
0,FDA,9.3,0.016047301,Dairy,249.8092,49,M,ST1,3735.138
1,DRC,5.92,0.019278216,Soft Drinks,48.2692,18,M,ST2,443.4228
2,FDN,17.5,0.016760075,Meat,141.618,49,M,ST1,2097.27
3,FDX,19.2,0.0,Fruits and Vegetables,182.095,10,,GS,732.38
4,NCD,8.93,0.0,Household,53.8614,13,H,ST1,994.7052
5,FDP,10.395,0.0,Baking Goods,51.4008,18,M,ST2,556.6088
6,FDO,13.65,0.012741088999999999,Snack Foods,57.6588,13,H,ST1,343.5528
7,FDP,,0.127469857,Snack Foods,107.7622,27,M,ST3,4022.7636
8,FDH,16.2,0.016687114,Frozen Foods,96.9726,45,,ST1,1076.5986
9,FDU,19.2,0.09444959,Frozen Foods,187.8214,17,,ST1,4710.535
10,FDY,11.8,0.0,Fruits and Vegetables,45.5402,49,M,ST1,1516.0266
11,FDA,18.5,0.045463773,Dairy,144.1102,46,S,ST1,2187.153
12,FDX,15.1,0.1000135,Fruits and Vegetables,145.4786,49,M,ST1,1589.2646
13,FDS,17.6,0.047257328,Snack Foods,119.6782,46,S,ST1,2145.2076
14,FDF,16.35,0.06802430000000001,Fruits and Vegetables,196.4426,13,H,ST1,1977.4260000000002
15,FDP,9.0,0.06908896099999999,Breakfast,56.3614,46,S,ST1,1547.3192
16,NCB,11.8,0.008596051,Health and Hygiene,115.3492,18,M,ST2,1621.8888
17,FDP,9.0,0.06919637599999999,Breakfast,54.3614,49,M,ST1,718.3982
21,FDW,,0.035399923,Baking Goods,144.5444,27,M,ST3,4064.0432
22,NCB,14.6,0.025698133999999997,Household,196.5084,35,S,ST1,1587.2672
25,NCD,13.0,0.099887103,Household,45.906000000000006,17,,ST1,838.908
26,FDV,7.645,0.06669343700000001,Snack Foods,42.3112,35,S,ST1,1065.28
28,FDE,5.925,0.161466534,Dairy,45.5086,10,,GS,178.4344
29,FDC,,0.072221801,Canned,43.6454,19,S,GS,125.8362
31,NCS,18.6,0.080829372,Health and Hygiene,96.4436,18,M,ST2,2741.7644
32,FDP,18.7,0.0,Snack Foods,256.6672,18,M,ST2,3068.0064
33,FDO,17.85,0.0,Breads,93.1436,45,,ST1,2174.5028
34,DRH,17.5,0.097904029,Soft Drinks,174.8738,46,S,ST1,2085.2856
35,NCX,10.0,0.08929113699999999,Health and Hygiene,146.7102,49,M,ST1,3791.0652
36,FDV,,0.059511812000000004,Fruits and Vegetables,128.0678,27,M,ST3,2797.6916
37,DRZ,8.85,0.113123893,Soft Drinks,122.5388,18,M,ST2,1609.9044
38,FDX,,0.12311145300000001,Snack Foods,36.9874,27,M,ST3,388.1614
39,FDB,,0.026480953999999998,Snack Foods,87.6198,27,M,ST3,2180.495
40,FDU,13.35,0.102511504,Dairy,230.6352,46,S,ST1,3435.528
41,FDK,9.8,0.02681843,Meat,126.00200000000001,13,H,ST1,2150.534
42,FDA,13.6,0.117818348,Snack Foods,192.9136,49,M,ST1,2527.3768
43,FDC,21.35,0.06910283099999999,Canned,259.9278,18,M,ST2,6768.5228
44,FDL,12.15,0.042277867000000004,Canned,126.5046,13,H,ST1,373.5138
45,FDM,6.42,0.08949892599999999,Dairy,178.1002,10,,GS,358.2004
46,NCP,19.6,0.0,Health and Hygiene,153.3024,45,,ST1,2428.8384
48,FDL,15.85,0.121632721,Baking Goods,60.622,46,S,ST1,2576.646
49,FDS,,0.25539489600000004,Dairy,196.8794,19,S,GS,780.3176
50,NCL,7.39,0.067779712,Health and Hygiene,143.8812,46,S,ST1,3134.5864
51,FDM,10.195,0.159803853,Frozen Foods,141.5154,13,H,ST1,850.8924
52,FDR,9.895,0.028696932,Canned,117.0492,13,H,ST1,810.9444
53,FDA,10.895,0.065041581,Fruits and Vegetables,196.3794,17,,ST1,3121.2704
55,FDK,7.905,0.010053105,Snack Foods,249.0408,18,M,ST2,6258.52
56,NCX,9.195,0.048157338,Household,106.1622,45,,ST1,2117.244
57,DRK,8.365,0.071958197,Hard Drinks,38.0506,49,M,ST1,796.9626
58,FDY,15.1,0.17348130399999998,Snack Foods,194.511,46,S,ST1,4910.275
59,FDI,,0.061082177,Canned,180.0344,19,S,GS,892.172
61,FDV,7.97,0.040071131,Meat,87.3514,45,,ST1,1062.6168
62,FDF,,0.012090074,Fruits and Vegetables,38.2848,27,M,ST3,484.7024
63,FDY,,0.15028599,Frozen Foods,51.0692,19,S,GS,147.8076
64,FDY,,0.026015518999999997,Snack Foods,255.8356,27,M,ST3,2543.356
65,FDC,17.7,0.195068226,Snack Foods,185.4266,10,,GS,184.4266
67,FDZ,13.65,0.078946455,Dairy,186.024,45,,ST1,1118.5439999999999
68,DRH,17.6,0.041700756,Soft Drinks,164.8526,45,,ST1,2302.3364
69,NCI,8.645,0.14342264300000002,Health and Hygiene,95.84100000000001,46,S,ST1,2027.361
70,FDJ,15.6,0.10529607199999999,Snack Foods,170.1764,46,S,ST1,3435.528
71,FDL,15.85,0.121531501,Baking Goods,59.222,13,H,ST1,599.22
73,FDG,7.855,0.011324862,Canned,189.6188,17,,ST1,2285.0256
74,NCZ,7.825,0.186357148,Household,254.3698,49,M,ST1,5580.7356
75,FDC,8.39,0.024205661,Frozen Foods,114.0176,46,S,ST1,2290.3520000000003
76,FDQ,12.85,0.033230816,Snack Foods,172.3422,49,M,ST1,1207.0954
77,FDN,,0.113720344,Baking Goods,89.9804,19,S,GS,643.1628
78,FDL,19.0,0.11255650699999999,Frozen Foods,104.9622,17,,ST1,1587.933
79,FDV,5.905,0.0,Canned,222.5456,45,,ST1,5305.0944
80,FDD,7.76,0.05935224099999999,Snack Foods,101.87,46,S,ST1,1697.79
82,FDV,16.75,0.045230944,Snack Foods,187.9556,18,M,ST2,4693.89
83,NCL,,0.293417759,Household,194.6136,19,S,GS,583.2408
84,FDR,,0.031382044,Baking Goods,171.3764,27,M,ST3,3091.9752
85,FDG,15.5,0.12639886,Fruits and Vegetables,177.0028,17,,ST1,2479.4392
86,FDZ,6.055,0.025403897999999998,Fruits and Vegetables,160.99200000000002,35,S,ST1,2716.4640000000004
88,FDN,6.305,0.123115764,Snack Foods,95.6436,46,S,ST1,661.8052
89,FDN,20.85,0.039624006,Meat,117.2808,49,M,ST1,1523.3504
90,FDW,20.75,0.040421193,Fruits and Vegetables,122.17299999999999,10,,GS,369.519
91,DRG,8.895,0.10527411099999999,Dairy,39.9138,49,M,ST1,690.4346
92,DRI,19.6,0.033970195,Soft Drinks,55.1614,45,,ST1,1381.535
93,FDA,19.7,0.053212652,Fruits and Vegetables,57.893,35,S,ST1,622.523
94,NCR,9.8,0.024378706,Health and Hygiene,114.5492,35,S,ST1,1274.3412
95,FDU,,0.009714595,Frozen Foods,120.0414,19,S,GS,487.3656
96,FDF,12.15,0.131383762,Frozen Foods,246.046,49,M,ST1,1231.73
97,FDB,8.75,0.07461309,Fruits and Vegetables,187.4556,35,S,ST1,3755.112
98,NCP,,0.028459761,Household,149.9708,27,M,ST3,4363.6532
99,FDB,8.75,0.07462720099999999,Fruits and Vegetables,187.8556,46,S,ST1,1314.2892
100,FDT,13.3,0.063695084,Frozen Foods,151.0708,45,,ST1,1805.6496
101,FDD,,0.045797829000000005,Snack Foods,178.5344,27,M,ST3,2854.9504
102,FDW,8.31,0.11585722300000001,Snack Foods,179.1028,49,M,ST1,3896.2616
103,DRB,16.75,0.024832806000000002,Soft Drinks,38.7822,13,H,ST1,667.7974
104,FDP,19.75,0.034027909,Snack Foods,212.0902,18,M,ST2,3185.853
105,FDH,17.1,0.046769599999999995,Canned,141.1838,13,H,ST1,2247.7408
108,DRE,,0.278974075,Soft Drinks,225.372,19,S,GS,679.1160000000001
109,DRK,14.15,0.035913805,Soft Drinks,41.4138,13,H,ST1,812.2760000000001
110,FDD,13.3,0.079806266,Dairy,232.53,46,S,ST1,699.09
